variable,coef,std_err,z,p_value,ci_low,ci_high,model,nobs,r2,r2_adj
C(year_month)[T.2024-02],0.11462711249377922,0.32202581545518594,0.3559562836033904,0.72187330433283,-0.5165318878905272,0.7457861128780856,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-03],0.2781488457194876,0.32837366197470663,0.8470498031017858,0.39696736244280806,-0.3654517052224673,0.9217493966614425,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-04],0.3708191986341385,0.32260025444710916,1.1494696409017708,0.25036237823994234,-0.26146568148565286,1.0031040787539298,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-05],0.4192984544664031,0.33182838167854084,1.2636003356475969,0.2063735130700287,-0.23107322267174768,1.0696701316045538,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-06],0.5264389935085934,0.3184637350526998,1.6530579013069653,0.09831908011548825,-0.09773845757680422,1.1506164445939908,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-07],0.5620829026538656,0.343871475969519,1.6345726294078808,0.10213866928381453,-0.1118928055570223,1.2360586108647535,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-08],0.34699014903701375,0.31970630876543693,1.0853403249280091,0.2777709520678707,-0.2796227017734848,0.9736029998475123,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-09],0.2862204199905376,0.3347301252944238,0.8550781610671648,0.39250787883776295,-0.36983857012711285,0.942279410108188,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-10],0.42958155717623914,0.32517886354930486,1.3210623608416183,0.1864805718821766,-0.207757303914063,1.0669204182665413,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-11],0.31257405390201676,0.32668671828346374,0.9568006178653351,0.33866790034165895,-0.3277201481611549,0.9528682559651884,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
C(year_month)[T.2024-12],0.13789476374190013,0.35813241384475253,0.3850384897069841,0.7002088991239366,-0.5640318690902086,0.8398213965740089,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
sar_diff_median,1.3857894217481837e-05,9.207197083134731e-06,1.5051154105157598,0.13229440767697057,-4.1878804640244755e-06,3.190366889898815e-05,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
vh_median_mean,-0.30860291463623646,0.10380610007468308,-2.972878418649894,0.002950212882280008,-0.5120591321581759,-0.105146697114297,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
ntl_mean,0.052217218553675324,0.016222895152217687,3.2187361173037705,0.0012875691593089646,0.020420928330359217,0.08401350877699143,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
ntl_std,-0.03151005727393733,0.01807453259068355,-1.7433400900324842,0.08127422646480076,-0.06693549018907252,0.003915375641197864,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
lit_area_ratio,3.7553872038487164,2.776256142439099,1.3526803764401203,0.17615776219509283,-1.6859748471900193,9.196749254887452,Model2_TimeFE_log_val,6374,0.3731231850455554,0.3619092889786495
Intercept,2.716765017099751,0.11689650408905147,23.240772153717497,1.7635670734181673e-119,2.487652079166571,2.9458779550329313,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(harbor_size)[T.Medium],-0.42719691385797254,0.024153377129076198,-17.686839880610588,5.2963626513211146e-70,-0.4745366631359753,-0.37985716457996976,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(harbor_size)[T.Small],-2.1306280380544664,0.06681895658385767,-31.886580500258667,4.0980449665537495e-223,-2.261590786443373,-1.9996652896655598,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(harbor_type)[T.Coastal (Breakwater)],-1.6663158781351162,0.07514050218940961,-22.176001351904308,5.855795794400885e-109,-1.813588556206612,-1.5190432000636203,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(harbor_type)[T.Coastal (Natural)],-2.6032926202233373,0.08008503632904396,-32.506604723599494,8.6010773664714e-232,-2.7602564071288453,-2.4463288333178292,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(harbor_type)[T.Coastal (Tide Gates)],1.2812884704981995,0.1335344365718306,9.59519134833037,8.376153435488293e-22,1.0195657841215633,1.5430111568748357,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(harbor_type)[T.Open Roadstead],-0.2231007302615572,0.015770223986706713,-14.146960147783366,1.950063017492034e-45,-0.25400980130363204,-0.19219165921948236,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(harbor_type)[T.River (Basins)],0.7468470910453985,0.11133070403118317,6.708365832629697,1.968160104205781e-11,0.5286429207707912,0.9650512613200057,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(harbor_type)[T.River (Natural)],-0.7422852836659324,0.06031116766945067,-12.307592645763368,8.244580457250008e-35,-0.8604930001636122,-0.6240775671682526,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(harbor_type)[T.River (Tide Gates)],4.581992197224996,0.179734814502545,25.493069942552037,2.3528560193632177e-143,4.22971843403202,4.934265960417972,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(shelter_afforded)[T.Fair],0.008609863456802147,0.08715476848501022,0.09878820868284402,0.9213064308035636,-0.16221034385474442,0.17943007076834872,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(shelter_afforded)[T.Good],0.9985248068794548,0.040313296551172474,24.769118189378478,1.9297051915397698e-135,0.9195121975410739,1.0775374162178355,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
C(shelter_afforded)[T.Unknown],-0.9850217679295096,0.03788189488354629,-26.002441824982366,4.64705199881604e-149,-1.0592689175673924,-0.9107746182916268,Model3_AllFE_log_val,6374,0.9531452065204603,0.9518067141954315
