country,port_name,wpi_id,lat,lon,year_month,n_ntl_images,ntl_sum,ntl_mean,ntl_max,ntl_std,lit_area_ratio
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2022-08,21,2228.561066050155,10.577825028716953,38.58039855957031,9.357824194675118,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2022-09,30,2048.460570172001,9.722981263380618,44.5021915435791,9.088222214563439,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2022-10,31,2038.123945489116,9.673918660183988,37.20900917053223,9.957807630338408,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2022-11,30,2066.896938221594,9.810489152827536,43.411909103393555,10.140368798867687,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2022-12,31,2298.346857507088,10.909062033063574,42.96398162841797,10.645909457046246,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-01,31,2133.9096176168496,10.128563630636153,38.885536193847656,8.894422903809918,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-02,28,2826.2461520807415,13.414726542710689,53.37504577636719,12.693715849230333,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-03,31,2385.6702392596817,11.323540894408808,41.925289154052734,9.066184360035889,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-04,30,2337.9645753439736,11.097106818418458,44.169342041015625,9.92585772176151,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-05,31,2306.422641907953,10.94739359851329,49.515512466430664,10.48338610557182,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-06,30,2268.0003875699704,10.76502305916057,42.18000411987305,9.879145465613481,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-07,31,2147.9418408753822,10.195167326022307,41.66323471069336,9.418168400633364,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-08,31,2132.629106557134,10.122485707915814,44.949256896972656,9.448285156638592,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-09,30,2255.9165897175385,10.70766752993024,51.83693885803223,10.570169655180528,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-10,31,2090.477518486977,9.922413953059696,45.95696449279785,9.886035117211442,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-11,30,2093.6972105965892,9.937696163765361,41.292808532714844,9.593408677304673,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2023-12,31,1735.6978203289652,8.238458494972194,35.874542236328125,7.483669473772823,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-01,31,3605.80392450024,17.11488349243469,92.21100616455078,17.929598015822453,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-02,29,2020.1217637555271,9.58847162827897,41.51646041870117,9.096223761507078,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-03,31,2197.347075486885,10.429668383760621,43.56810760498047,9.724491632486957,0.8529649916646821
Russia,Rostov-Na-Donu,44070.0,47.166667,39.716667,2024-04,30,2549.3994854496977,12.100678817468411,47.49013900756836,11.129273912275755,0.8529649916646821
