country,port_name,wpi_id,lat,lon,year_month,n_ntl_images,ntl_sum,ntl_mean,ntl_max,ntl_std,lit_area_ratio
United States,Convent,8895.0,30.016667,-90.833333,2016-08,31,1507.3210175143738,9.107787769920037,53.32424736022949,8.98501882669611,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2016-09,30,1689.0987380684594,10.206155589959177,62.864906311035156,10.09151103528852,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2016-10,31,1781.9686986642726,10.767310036476697,69.88685607910156,11.349711235239422,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2016-11,30,1746.0365584270628,10.550194834342,58.61354446411133,10.524313854780964,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2016-12,31,1448.2459555409698,8.750834525921695,59.09597969055176,8.772458310499015,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-01,31,1626.1515443178955,9.825805502134104,53.80787658691406,8.810259508044954,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-02,28,1528.0395076258515,9.232976504539884,47.0925350189209,7.908331830929619,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-03,31,1700.2098859833739,10.273293230789072,54.84040069580078,9.425037341505154,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-04,30,1705.730422257442,10.306650340639015,56.015573501586914,9.48672100639876,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-05,31,1586.7502020212953,9.587728105668697,45.73018264770508,8.841660409956427,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-06,30,1697.8500390585727,10.259034168047394,66.46675872802734,9.204966857567578,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-07,31,1645.8508506542328,9.94483595367114,55.74728012084961,9.615091079983102,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-08,31,1661.4606471529196,10.039156083218677,48.55508804321289,9.075371615183554,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-09,30,1632.2118959284292,9.862424374715642,50.42296028137207,9.656765378675113,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-10,31,1566.5669760220187,9.465773633610134,68.3326187133789,8.690410335726236,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-11,30,1640.575372953976,9.912959577822472,55.8641471862793,9.513222970422131,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2017-12,31,1614.81964179628,9.757333980807816,50.82600975036621,8.861375306949185,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-01,31,1644.9053535468438,9.939122912526544,71.42169952392578,9.638167343125351,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-02,28,1508.2031735364128,9.113118080938944,44.4334602355957,7.383454703371289,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-03,31,1588.8557003855708,9.600450300893812,54.623918533325195,8.574877713116111,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-04,30,1654.7991916768694,9.998905120079659,53.748905181884766,9.27344589115419,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-05,31,1756.1777824579506,10.611471838462098,58.435768127441406,9.876081171860616,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-06,30,1564.21093326772,9.451537557065274,46.84390068054199,8.573655127919768,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-07,31,1595.7455165117399,9.642081103039992,49.34898567199707,8.440900100283011,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-08,31,1656.8310485725317,10.011182346476367,51.43394088745117,8.666666490202092,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-09,30,1622.2883321826362,9.802462554063132,46.24078559875488,8.732723468179278,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-10,31,1381.957432129921,8.350294895813704,46.903507232666016,7.567388219508915,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-11,30,1249.9015703107796,7.552364827004617,38.548526763916016,6.2960242597276235,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2018-12,31,1226.439902988602,7.410600807120363,41.26331329345703,7.0203054437175965,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-01,31,1528.1221178881094,9.233475666116961,52.611324310302734,8.789479152772842,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-02,28,1319.6158693511113,7.973604252986433,46.59476089477539,7.250612681846978,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-03,31,1445.8534526682367,8.736378143936317,54.34050178527832,8.282065603481751,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-04,30,1451.567342626581,8.77090356783513,58.39740753173828,8.307779291613627,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-05,31,1528.4375636270236,9.235381705248354,48.98661804199219,8.605482785252782,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-06,30,1812.919703871829,10.954327389396626,47.440895080566406,8.806241251988963,0.9093298858004739
United States,Convent,8895.0,30.016667,-90.833333,2019-07,31,1461.0542669803488,8.828227052746055,52.809146881103516,7.56388238888502,0.9093298858004739
