PORT,PORT_NAME,year_month,import_ves_val,import_ves_wgt,export_ves_val,export_ves_wgt,total_ves_val,total_ves_wgt
-,TOTAL FOR ALL PORTS,2024-10,119648335382.0,47538967827.0,60212565826.0,81600613620.0,179860901208.0,129139581447.0
-,TOTAL FOR ALL PORTS,2024-11,117098999696.0,46290694959.0,65692988756.0,86478194929.0,182791988452.0,132768889888.0
-,TOTAL FOR ALL PORTS,2024-12,117063585442.0,46675690589.0,62482161077.0,85178246705.0,179545746519.0,131853937294.0
0101,"PORTLAND, ME",2016-01,114183333.0,290296519.0,9246748.0,6944142.0,123430081.0,297240661.0
0101,"PORTLAND, ME",2016-02,92282812.0,285654471.0,12300633.0,11599668.0,104583445.0,297254139.0
0101,"PORTLAND, ME",2016-03,113158746.0,251788551.0,10536595.0,2724056.0,123695341.0,254512607.0
0101,"PORTLAND, ME",2016-04,122239605.0,252732229.0,11983220.0,2835202.0,134222825.0,255567431.0
0101,"PORTLAND, ME",2016-05,124946172.0,262210976.0,7303483.0,2938624.0,132249655.0,265149600.0
0101,"PORTLAND, ME",2016-06,113191859.0,236154147.0,8949282.0,2707213.0,122141141.0,238861360.0
0101,"PORTLAND, ME",2016-07,118922773.0,284534218.0,11789054.0,2510514.0,130711827.0,287044732.0
0101,"PORTLAND, ME",2016-08,138234947.0,317169579.0,7961698.0,2215371.0,146196645.0,319384950.0
0101,"PORTLAND, ME",2016-09,133765743.0,293999275.0,13331973.0,2376079.0,147097716.0,296375354.0
0101,"PORTLAND, ME",2016-10,129938365.0,244623200.0,16184495.0,2373942.0,146122860.0,246997142.0
0101,"PORTLAND, ME",2016-11,113346715.0,213338222.0,11391456.0,3241119.0,124738171.0,216579341.0
0101,"PORTLAND, ME",2016-12,146441327.0,318384638.0,10598381.0,2640457.0,157039708.0,321025095.0
0101,"PORTLAND, ME",2017-01,153366926.0,353824436.0,15368857.0,1962547.0,168735783.0,355786983.0
0101,"PORTLAND, ME",2017-02,116795718.0,299254092.0,20099070.0,12320732.0,136894788.0,311574824.0
0101,"PORTLAND, ME",2017-03,124002953.0,307333227.0,11412764.0,3088045.0,135415717.0,310421272.0
0101,"PORTLAND, ME",2017-04,137877940.0,311099691.0,14268383.0,3037604.0,152146323.0,314137295.0
0101,"PORTLAND, ME",2017-05,148358578.0,324836106.0,8432735.0,2176930.0,156791313.0,327013036.0
0101,"PORTLAND, ME",2017-06,121726848.0,236307193.0,14315599.0,2552935.0,136042447.0,238860128.0
0101,"PORTLAND, ME",2017-07,132799874.0,271531230.0,17649374.0,8691328.0,150449248.0,280222558.0
0101,"PORTLAND, ME",2017-08,144153957.0,291598292.0,15410744.0,3306350.0,159564701.0,294904642.0
0101,"PORTLAND, ME",2017-09,165013708.0,293702999.0,20262868.0,53429601.0,185276576.0,347132600.0
0101,"PORTLAND, ME",2017-10,173873127.0,314942441.0,18202064.0,11136448.0,192075191.0,326078889.0
0101,"PORTLAND, ME",2017-11,138111196.0,234564795.0,11613059.0,2590448.0,149724255.0,237155243.0
0101,"PORTLAND, ME",2017-12,170962357.0,319410393.0,14540392.0,3989702.0,185502749.0,323400095.0
0101,"PORTLAND, ME",2018-01,206653143.0,412387971.0,17590763.0,38586165.0,224243906.0,450974136.0
