country,port_name,wpi_id,lat,lon,year_month,n_images,sar_diff_median,sar_diff_mean,vh_median_mean,vh_max_mean
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-01,4,5540.789754778743,5590.7461820895,-1.1857580268444623,1.627070011948684
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-02,6,4708.7746322748235,4812.413136746306,-1.9744105820214586,1.7255427585586123
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-03,4,6857.348779593223,6918.224206550137,-0.8632140919600808,1.5135611894423135
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-04,6,7843.587228748283,7525.154690571535,0.8901386442860614,0.9028549746715535
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-05,4,6285.511863800873,6586.857761778551,-0.5735019147346683,1.5965094671778215
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-06,5,6391.740134474795,6480.53496736404,0.3966531180106926,1.8665796950107483
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-07,4,6537.67531595831,6442.409150753793,-1.6629371997685831,1.3602127841121572
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-08,5,6447.50217291588,6599.048795064165,0.7322832238003909,1.191280704041707
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-09,6,5831.731299916361,5976.633037885996,-0.7018126285852356,1.0659991622630627
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-10,4,6670.438318431073,6903.542157135078,0.07844644458054806,1.1166804353446405
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-11,4,5769.067927389986,5790.021603967541,-0.731023425922016,1.239862180310183
United States,Marinette,5020.0,45.083333,-87.59999999999998,2021-12,4,3654.583377339353,4096.208055951125,-1.7301883273050433,1.4381730732790334
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-01,3,4768.0373193118685,4768.0373193118685,1.488745563540644,2.21893778944537
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-02,2,5844.951395819761,5844.951395819761,-0.02070151663365733,1.2197493810073698
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-03,3,6848.4510433860905,6848.4510433860905,1.4493044400619306,1.3202108576424647
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-04,2,6370.560119090609,6370.560119090609,0.9632131100416699,1.3677960389153394
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-05,2,6226.683182506186,6226.683182506186,1.4693751822769852,1.3063907168006021
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-06,2,5500.735655302004,5500.735655302004,1.5920182527763076,0.03464781176907093
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-07,3,5403.346964188858,5403.346964188858,0.13565815283793556,1.4546378776641817
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-08,2,6694.269760556219,6694.269760556219,1.5721277672700396,1.2864493951610265
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-09,3,7960.443675635077,7960.443675635077,1.1052896865974127,1.2963794097218229
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-10,3,6881.295355953596,6881.295355953596,0.24374693016577573,0.8648341574835856
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-11,2,6880.645322928162,6880.645322928162,1.8798358178823016,2.2870025611094253
United States,Marinette,5020.0,45.083333,-87.59999999999998,2022-12,3,6034.9296341468835,6034.9296341468835,1.813250298485421,1.1439948252720884
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-01,2,6580.67456639896,6580.67456639896,1.770603433310245,1.7865147623366948
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-02,3,5219.375496030693,5219.375496030693,1.5671594186961813,2.5519433956761035
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-03,2,6199.3927686422885,6199.3927686422885,2.5979082029821363,2.4405439685092194
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-04,3,6823.147748748523,6823.147748748523,1.3419537228075706,1.118661264881907
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-05,2,6420.229808460687,6420.229808460687,2.096590059967577,1.980775690593921
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-06,3,6311.8239496950755,6311.8239496950755,0.6294760567262551,1.8559915541045269
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-07,2,7109.4905300915525,7109.4905300915525,1.8405543491819634,1.7153868485066945
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-08,3,6471.387185312929,6471.387185312929,0.6634068689390133,1.6082582070792377
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-09,2,6668.884873683129,6668.884873683129,1.3613239295887123,1.0809464352170766
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-10,3,8239.282950202389,8239.282950202389,1.4313923327650364,1.2627109021446932
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-11,2,6110.026169474546,6110.026169474546,0.8743230080903199,1.4115419785634489
United States,Marinette,5020.0,45.083333,-87.59999999999998,2023-12,3,6400.665907678535,6400.665907678535,1.3564060467723913,1.5972967629041348
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-01,3,4840.50612074628,4840.50612074628,1.1809076831324665,1.7627589595687583
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-02,2,6180.819098036154,6180.819098036154,2.2152099191316914,1.1989068527373605
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-03,3,6595.552641070333,6595.552641070333,1.3554185474423004,0.15630045214198932
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-04,2,6947.813476225647,6947.813476225647,1.6376626970574613,1.2444518809405811
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-05,3,6274.110341101188,6274.110341101188,1.1476504981257916,1.1829457373654786
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-06,2,6849.839711936183,6849.839711936183,0.9619350661528023,1.50622881385361
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-07,3,6384.198586894505,6384.198586894505,0.9951582321146376,0.5995649775273595
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-08,2,5494.55723823289,5494.55723823289,0.1940227706956192,0.5183852794214013
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-09,3,6254.872421038703,6254.872421038703,0.2902148599380981,1.0714473658559533
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-10,2,6041.335534032851,6041.335534032851,0.39770145714860566,-0.2365041787937504
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-11,3,7724.701516875664,7724.701516875664,-0.051404726030957346,0.30222524105648135
United States,Marinette,5020.0,45.083333,-87.59999999999998,2024-12,3,6621.96596674801,6621.96596674801,1.779687768433275,1.400904668511264
United States,Green Bay,4940.0,44.516667,-88.016667,2016-01,1,,,2.63768340024684,2.63768340024684
United States,Green Bay,4940.0,44.516667,-88.016667,2016-02,0,,,,
United States,Green Bay,4940.0,44.516667,-88.016667,2016-03,0,,,,
United States,Green Bay,4940.0,44.516667,-88.016667,2016-04,1,,,2.505460781292931,2.505460781292931
United States,Green Bay,4940.0,44.516667,-88.016667,2016-05,2,15527.859277979709,15527.859277979709,2.727792352548382,2.475067749922798
United States,Green Bay,4940.0,44.516667,-88.016667,2016-06,1,,,2.9253247388397607,2.9253247388397607
United States,Green Bay,4940.0,44.516667,-88.016667,2016-07,1,,,2.645666192757089,2.645666192757089
United States,Green Bay,4940.0,44.516667,-88.016667,2016-08,1,,,2.6535531710213487,2.6535531710213487
United States,Green Bay,4940.0,44.516667,-88.016667,2016-09,1,,,2.612171778456872,2.612171778456872
United States,Green Bay,4940.0,44.516667,-88.016667,2016-10,3,17787.318774812375,17787.318774812375,2.1454018740169194,2.678951285471695
United States,Green Bay,4940.0,44.516667,-88.016667,2016-11,4,14795.114640157193,15059.46191522985,1.6675808479342233,2.766469123000366
United States,Green Bay,4940.0,44.516667,-88.016667,2016-12,3,11396.455143240793,11396.455143240793,2.2407009067373744,2.556124670655805
United States,Green Bay,4940.0,44.516667,-88.016667,2017-01,5,14610.613197691931,14683.200932863367,2.3796065785622593,2.8608943908034656
United States,Green Bay,4940.0,44.516667,-88.016667,2017-02,2,17379.155521358596,17379.155521358596,2.309104581777593,2.4605817655377424
United States,Green Bay,4940.0,44.516667,-88.016667,2017-03,1,,,1.8022084118371617,1.8022084118371617
United States,Green Bay,4940.0,44.516667,-88.016667,2017-04,2,14257.15064700762,14257.15064700762,1.032203846602733,2.0394695183699287
United States,Green Bay,4940.0,44.516667,-88.016667,2017-05,5,14954.345770857497,14955.270896322743,1.819862564337571,2.3571333822127287
United States,Green Bay,4940.0,44.516667,-88.016667,2017-06,1,,,1.789176765116676,1.789176765116676
United States,Green Bay,4940.0,44.516667,-88.016667,2017-07,3,14559.536042439306,14559.536042439306,2.7037960852048255,3.3557900008586135
